"Rowid","min","median","max","mean"
1,0.095391720533371,0.095391720533371,0.095391720533371,0.095391720533371
2,NA,NA,NA,NA
3,NA,NA,NA,NA
4,0.000146798469359055,0.000579299259698018,0.0324562825262547,0.00167395590573218
5,0.00228959671221673,0.00235097645781934,0.00241235620342195,0.00235097645781934
6,0.000958142220042646,0.000958142220042646,0.000958142220042646,0.000958142220042646
7,0.00174372328910977,0.00174372328910977,0.00174372328910977,0.00174372328910977
8,0.000108781227027066,0.000243967471760698,0.00188380235340446,0.000358917910201097
9,2.95358972834947e-06,0.000152888998854905,0.00223289988934994,0.000173410384444267
10,7.4128016422037e-05,0.000646560627501458,0.00569785991683602,0.000816032379390725
11,0.000519778346642852,0.000586854992434382,0.000699362135492265,0.000594938600746294
12,0.000683821679558605,0.000908999209059402,0.00132264848798513,0.000918487911500658
13,0.000312153133563697,0.000943185354117304,0.00386156304739416,0.00131923697750048
14,0.095391720533371,0.095391720533371,0.095391720533371,0.095391720533371
15,0.000363334344001487,0.000743788375984877,0.00324946688488126,0.000965464093023911
16,0.000943215796723962,0.000943215796723962,0.000943215796723962,0.000943215796723962
17,0.095391720533371,0.095391720533371,0.095391720533371,0.095391720533371
18,0.000227756245294586,0.000443430384621024,0.00181989022530615,0.000603751435846789
19,0.095391720533371,0.095391720533371,0.095391720533371,0.095391720533371
20,0.000371015019482002,0.000880812207469717,0.00220416183583438,0.000913527527397188
21,0.095391720533371,0.095391720533371,0.095391720533371,0.095391720533371
22,NA,NA,NA,NA
23,0.095391720533371,0.095391720533371,0.095391720533371,0.095391720533371
24,0.095391720533371,0.095391720533371,0.095391720533371,0.095391720533371
25,0.000415492162574083,0.0015297430800274,0.0024579546879977,0.0014177683275193
26,0.000711897562723607,0.00141888938378543,0.00402256799861789,0.00221085530938581
27,0.00299213617108762,0.00299213617108762,0.00299213617108762,0.00299213617108762
28,0.000320203136652708,0.00114637051592581,0.00205506314523518,0.00122772958517695
29,0.000977301853708923,0.00358657888136804,0.00604630634188652,0.00368745280138683
30,0.000614497752394527,0.00149373395834118,0.0103307496756315,0.00274075319800802
31,0.000515264924615622,0.002188810845837,0.0066171963699162,0.00241822732256397
32,0.00034580213832669,0.00210246769711375,0.00671264715492725,0.00309978832633028
33,0.000113739566586446,0.000877820944879204,0.0205934923142195,0.00138281096144311
34,8.83023894857615e-05,0.000834377075079829,0.0115264905616641,0.0016097370783821
35,0.000862363143824041,0.00409253232646734,0.010697185061872,0.00537148440655853
36,0.00166968570556492,0.00274747586809099,0.0141130546107888,0.00495700359100565
37,0.00232893205247819,0.00313962390646338,0.0171028114855289,0.00614568580931518
38,0.00403738208115101,0.00403738208115101,0.00403738208115101,0.00403738208115101
39,0.00638820789754391,0.0101884687319398,0.015624669380486,0.0106687896574537
