"Rowid","min","median","max","mean"
1,0,0.095391720533371,1346.02819824219,0.147250779976482
2,0.000768941652495414,0.000768941652495414,0.000768941652495414,0.000768941652495414
3,0.000601925828959793,0.095391720533371,10.5844945907593,0.100262069083405
4,0.00498130498453975,0.00498130498453975,0.00498130498453975,0.00498130498453975
5,0.00161846564151347,0.00161846564151347,0.00161846564151347,0.00161846564151347
6,0.095391720533371,0.095391720533371,0.095391720533371,0.095391720533371
7,0.095391720533371,0.095391720533371,0.095391720533371,0.095391720533371
8,0.095391720533371,0.095391720533371,0.095391720533371,0.095391720533371
9,0.095391720533371,0.095391720533371,0.095391720533371,0.095391720533371
10,0.095391720533371,0.095391720533371,0.095391720533371,0.095391720533371
11,0.000436639908002689,0.000436639908002689,0.000436639908002689,0.000436639908002689
12,0.000455234403489158,0.00171632843557745,0.00193005369510502,0.00139641821310347
13,0.000807950913440436,0.000896543584531173,0.00098513625562191,0.000896543584531173
14,0.000848352327011526,0.000997255614493042,0.00114615890197456,0.000997255614493042
15,0.000668383436277509,0.000921167549677193,0.00117395166307688,0.000921167549677193
16,0.00167847564443946,0.00172465929063037,0.00195479393005371,0.00177064703893848
17,0.00136873009614646,0.00136962113901973,0.00162640830967575,0.00145491984828065
18,0.00183302268851548,0.00327848416054621,0.00472394563257694,0.00327848416054621
19,0.095391720533371,0.095391720533371,0.095391720533371,0.095391720533371
20,0.095391720533371,0.095391720533371,0.095391720533371,0.095391720533371
21,0.095391720533371,0.095391720533371,0.095391720533371,0.095391720533371
22,0.000673793721944094,0.000885837973328307,0.00107254355680197,0.000873849992785836
23,0.0025965936947614,0.00274729717057198,0.00289800064638257,0.00274729717057198
24,0.0150524862110615,0.0150524862110615,0.0150524862110615,0.0150524862110615
25,0.00328849046491086,0.00427141413092613,0.0157893691211939,0.00515711772128601
26,0.0111659588292241,0.0176143385469913,0.0375926606357098,0.0184867403415196
27,0.00125160010065883,0.00234853546135128,0.00515516800805926,0.00302881123207044
28,0.010545464232564,0.0160033125430346,0.0304163694381714,0.0164105399813065
29,0.00568221043795347,0.00568221043795347,0.00568221043795347,0.00568221043795347
30,0.00172164046671242,0.00172164046671242,0.00172164046671242,0.00172164046671242
31,0.0180135108530521,0.0200471971184015,0.0220808833837509,0.0200471971184015
32,0.0325214751064777,0.0325214751064777,0.0325214751064777,0.0325214751064777
33,0.00695762364193797,0.017138535156846,0.0406145341694355,0.0184554706832741
34,0.00268889358267188,0.00268889358267188,0.00268889358267188,0.00268889358267188
35,0.00663166213780642,0.00663166213780642,0.00663166213780642,0.00663166213780642
36,0.0138355288654566,0.0169574292376637,0.0220040436834097,0.0170374645053276
37,0.00838623102754354,0.00838623102754354,0.00838623102754354,0.00838623102754354
38,0.00878719426691532,0.00878719426691532,0.00878719426691532,0.00878719426691532
39,0.00327083608135581,0.00327083608135581,0.00327083608135581,0.00327083608135581
