"layer","id","dist","id_neighbour"
1,1,20,11169
1,1,20,9589
1,1,20,1575
1,1,20,1139
1,1,20,3905
1,1,20,3212
1,1,20,7114
1,1,20,201
1,1,20,9971
1,1,20,490
1,1,20,3508
1,1,20,1522
1,1,20,195
1,1,20,4735
1,1,20,3973
1,1,20,1359
1,1,20,9945
1,1,20,934
1,1,20,8508
1,1,20,9297
1,1,20,5170
1,1,20,4936
1,1,20,1217
1,1,20,13765
1,1,20,13736
1,1,20,16700
1,1,20,11330
1,1,20,10521
1,1,20,1731
1,1,20,178
1,1,20,4733
1,1,20,95
1,1,20,2727
1,1,20,8579
1,1,20,5513
1,1,20,85
1,1,20,1748
1,1,20,10794
1,1,20,11348
1,1,20,10059
1,1,20,11088
1,1,20,4372
1,1,20,3939
1,1,20,1190
1,1,20,16
1,1,20,11371
1,1,20,4540
1,1,20,382
1,1,20,1180
1,1,20,400
1,1,20,3409
1,1,20,4824
1,1,20,1886
1,1,20,396
1,1,20,9200
1,1,20,12092
1,1,20,2520
1,1,20,45
1,1,20,898
1,1,20,860
1,1,20,6813
1,1,20,3884
1,1,20,7966
1,1,20,1212
1,1,20,550
1,1,20,10836
1,1,20,5002
1,1,20,12166
1,1,20,807
1,1,20,415
1,1,20,1434
1,1,20,4547
1,1,20,1934
1,1,20,8557
1,1,20,14
1,1,20,1794
1,1,20,1275
1,1,20,1027
1,1,20,9000
1,1,20,1961
1,1,20,717
1,1,20,40
1,1,20,11042
1,1,20,2966
1,1,20,7770
1,1,20,10081
1,1,20,3342
1,1,20,9281
1,1,20,10004
1,1,20,10171
1,1,20,11503
1,1,20,9963
1,1,20,10477
1,1,20,328
1,1,20,10749
1,6,50.9901951359278,1
1,8,42.4264068711929,1
1,10,50,1
1,14,20,1
1,16,20,1
1,18,36.0555127546399,19
1,19,36.0555127546399,18
1,20,31.6227766016838,21
1,21,31.6227766016838,20
1,25,36.0555127546399,1
1,26,44.7213595499958,1
1,27,22.3606797749979,28
1,27,22.3606797749979,1
1,28,22.3606797749979,27
1,29,63.2455532033676,28
1,30,92.1954445729289,31
1,31,64.0312423743285,33
1,33,22.3606797749979,1
1,34,22.3606797749979,1
1,35,28.2842712474619,34
1,36,36.0555127546399,1
1,39,31.6227766016838,1
1,40,20,1
1,43,22.3606797749979,1
1,45,20,1
1,48,22.3606797749979,56
1,49,28.2842712474619,1
1,50,22.3606797749979,58
1,51,50.9901951359278,1
1,52,30,49
1,54,28.2842712474619,1
1,56,22.3606797749979,48
1,58,22.3606797749979,50
1,59,22.3606797749979,1
1,65,30,1
1,68,60,1
1,70,22.3606797749979,1
1,76,22.3606797749979,1
1,77,53.851648071345,76
1,85,20,1
1,89,50,1
1,94,72.8010988928052,1
1,95,20,1
1,99,60.8276253029822,132
1,102,22.3606797749979,1
1,103,28.2842712474619,1
1,105,40,106
1,105,40,1
1,106,31.6227766016838,1
1,109,72.1110255092798,99
1,111,42.4264068711929,1
1,112,100,117
1,113,101.980390271856,1
1,117,100,112
1,122,41.2310562561766,1
1,127,36.0555127546399,1
1,130,36.0555127546399,1
1,132,60.8276253029822,99
1,135,94.8683298050514,132
1,137,40,1
1,139,80,1
1,141,28.2842712474619,1
1,142,42.4264068711929,1
1,150,22.3606797749979,604
1,152,58.309518948453,1
1,160,40,1
1,165,28.2842712474619,1
1,169,22.3606797749979,1
1,173,28.2842712474619,1
1,177,36.0555127546399,186
1,178,20,1
1,181,22.3606797749979,1
1,186,36.0555127546399,177
1,187,22.3606797749979,1
1,190,28.2842712474619,1
1,193,50,247
