"layer","level","class","id","metric","value","areasqkm"
1,"patch",1,145,"area",0.23,0.0023
1,"patch",1,146,"area",0.11,0.0011
1,"patch",1,147,"area",0.01,1e-04
1,"patch",1,148,"area",0.01,1e-04
1,"patch",1,149,"area",0.07,7e-04
1,"patch",1,150,"area",0.06,6e-04
1,"patch",1,151,"area",0.01,1e-04
1,"patch",1,152,"area",0.02,2e-04
1,"patch",1,153,"area",1.76,0.0176
1,"patch",1,154,"area",246.35,2.4635
1,"patch",1,155,"area",0.02,2e-04
1,"patch",1,156,"area",0.01,1e-04
1,"patch",1,157,"area",0.01,1e-04
1,"patch",1,158,"area",0.01,1e-04
1,"patch",1,159,"area",0.29,0.0029
1,"patch",1,160,"area",78.39,0.7839
1,"patch",1,161,"area",0.01,1e-04
1,"patch",1,162,"area",0.02,2e-04
1,"patch",1,163,"area",0.22,0.0022
1,"patch",1,164,"area",0.11,0.0011
1,"patch",1,165,"area",0.01,1e-04
1,"patch",1,166,"area",0.27,0.0027
1,"patch",1,167,"area",0.01,1e-04
1,"patch",1,168,"area",0.02,2e-04
1,"patch",1,169,"area",0.01,1e-04
1,"patch",1,170,"area",0.01,1e-04
1,"patch",1,171,"area",0.45,0.0045
1,"patch",1,172,"area",0.01,1e-04
1,"patch",1,173,"area",0.02,2e-04
1,"patch",1,174,"area",5.94,0.0594
1,"patch",1,175,"area",0.02,2e-04
1,"patch",1,176,"area",0.02,2e-04
1,"patch",1,177,"area",0.12,0.0012
1,"patch",1,178,"area",14.33,0.1433
1,"patch",1,179,"area",0.01,1e-04
1,"patch",1,180,"area",0.02,2e-04
1,"patch",1,181,"area",0.22,0.0022
1,"patch",1,182,"area",0.64,0.0064
1,"patch",1,183,"area",0.73,0.0073
1,"patch",1,184,"area",1.56,0.0156
1,"patch",1,185,"area",0.01,1e-04
1,"patch",1,186,"area",0.02,2e-04
1,"patch",1,187,"area",17.38,0.1738
1,"patch",1,188,"area",71.75,0.7175
1,"patch",1,189,"area",0.01,1e-04
1,"patch",1,190,"area",0.03,3e-04
1,"patch",1,191,"area",0.01,1e-04
1,"patch",1,192,"area",0.04,4e-04
1,"patch",1,193,"area",0.08,8e-04
1,"patch",1,194,"area",57.09,0.5709
1,"patch",1,195,"area",0.01,1e-04
1,"patch",1,196,"area",9.1,0.091
1,"patch",1,197,"area",0.06,6e-04
1,"patch",1,198,"area",0.01,1e-04
1,"patch",1,199,"area",0.07,7e-04
1,"patch",1,200,"area",0.05,5e-04
1,"patch",1,201,"area",0.02,2e-04
1,"patch",1,202,"area",0.6,0.006
1,"patch",1,203,"area",0.02,2e-04
1,"patch",1,204,"area",0.02,2e-04
1,"patch",1,205,"area",0.19,0.0019
1,"patch",1,206,"area",57.53,0.5753
1,"patch",1,207,"area",0.02,2e-04
1,"patch",1,208,"area",0.06,6e-04
1,"patch",1,209,"area",0.39,0.0039
1,"patch",1,210,"area",0.04,4e-04
1,"patch",1,211,"area",0.01,1e-04
1,"patch",1,212,"area",0.14,0.0014
1,"patch",1,213,"area",0.26,0.0026
1,"patch",1,214,"area",0.04,4e-04
1,"patch",1,215,"area",0.01,1e-04
1,"patch",1,216,"area",10.81,0.1081
1,"patch",1,217,"area",0.17,0.0017
1,"patch",1,218,"area",0.05,5e-04
1,"patch",1,219,"area",0.02,2e-04
1,"patch",1,220,"area",13.58,0.1358
1,"patch",1,221,"area",8.98,0.0898
1,"patch",1,222,"area",0.15,0.0015
1,"patch",1,223,"area",0.02,2e-04
1,"patch",1,224,"area",0.13,0.0013
1,"patch",1,225,"area",0.05,5e-04
1,"patch",1,226,"area",0.04,4e-04
1,"patch",1,227,"area",0.04,4e-04
1,"patch",1,228,"area",0.16,0.0016
1,"patch",1,229,"area",3.63,0.0363
1,"patch",1,230,"area",39.72,0.3972
1,"patch",1,231,"area",0.01,1e-04
1,"patch",1,232,"area",8.76,0.0876
1,"patch",1,233,"area",0.04,4e-04
1,"patch",1,234,"area",0.25,0.0025
1,"patch",1,235,"area",0.23,0.0023
1,"patch",1,236,"area",0.57,0.0057
1,"patch",1,237,"area",0.13,0.0013
1,"patch",1,238,"area",0.01,1e-04
1,"patch",1,239,"area",0.55,0.0055
1,"patch",1,240,"area",17.79,0.1779
1,"patch",1,241,"area",0.01,1e-04
1,"patch",1,242,"area",0.04,4e-04
1,"patch",1,243,"area",0.28,0.0028
1,"patch",1,244,"area",0.05,5e-04
1,"patch",1,245,"area",0.34,0.0034
1,"patch",1,246,"area",0.28,0.0028
1,"patch",1,247,"area",0.56,0.0056
1,"patch",1,248,"area",1.86,0.0186
1,"patch",1,249,"area",0.31,0.0031
1,"patch",1,250,"area",0.08,8e-04
1,"patch",1,251,"area",0.98,0.0098
1,"patch",1,252,"area",34.21,0.3421
1,"patch",1,253,"area",0.08,8e-04
1,"patch",1,254,"area",50.88,0.5088
1,"patch",1,255,"area",0.68,0.0068
1,"patch",1,256,"area",0.25,0.0025
1,"patch",1,257,"area",0.09,9e-04
1,"patch",1,258,"area",0.35,0.0035
1,"patch",1,259,"area",0.06,6e-04
1,"patch",1,260,"area",0.02,2e-04
1,"patch",1,261,"area",11.72,0.1172
1,"patch",1,262,"area",0.03,3e-04
1,"patch",1,263,"area",0.01,1e-04
1,"patch",1,264,"area",0.01,1e-04
1,"patch",1,265,"area",0.13,0.0013
1,"patch",1,266,"area",0.06,6e-04
1,"patch",1,267,"area",0.05,5e-04
1,"patch",1,268,"area",0.09,9e-04
1,"patch",1,269,"area",0.57,0.0057
1,"patch",1,270,"area",0.05,5e-04
1,"patch",1,271,"area",0.05,5e-04
1,"patch",1,272,"area",0.02,2e-04
1,"patch",1,273,"area",0.02,2e-04
1,"patch",1,274,"area",0.01,1e-04
1,"patch",1,275,"area",0.01,1e-04
1,"patch",1,276,"area",0.03,3e-04
1,"patch",1,277,"area",0.04,4e-04
1,"patch",1,278,"area",0.13,0.0013
1,"patch",1,279,"area",0.01,1e-04
1,"patch",1,280,"area",0.01,1e-04
1,"patch",1,281,"area",0.01,1e-04
1,"patch",1,282,"area",0.01,1e-04
1,"patch",1,283,"area",0.02,2e-04
1,"patch",1,284,"area",0.02,2e-04
1,"patch",1,285,"area",0.06,6e-04
1,"patch",1,286,"area",0.25,0.0025
1,"patch",1,287,"area",0.05,5e-04
1,"patch",1,288,"area",0.01,1e-04
1,"patch",1,289,"area",0.01,1e-04
1,"patch",1,290,"area",0.23,0.0023
1,"patch",1,291,"area",0.01,1e-04
1,"patch",1,292,"area",0.07,7e-04
1,"patch",1,293,"area",0.01,1e-04
1,"patch",1,294,"area",0.01,1e-04
1,"patch",1,295,"area",0.05,5e-04
1,"patch",1,296,"area",0.01,1e-04
1,"patch",1,297,"area",0.02,2e-04
1,"patch",1,298,"area",0.02,2e-04
1,"patch",1,299,"area",0.01,1e-04
1,"patch",1,300,"area",0.02,2e-04
1,"patch",1,301,"area",0.01,1e-04
1,"patch",1,302,"area",0.03,3e-04
1,"patch",1,303,"area",0.01,1e-04
1,"patch",1,304,"area",0.01,1e-04
1,"patch",1,305,"area",0.11,0.0011
1,"patch",1,306,"area",0.02,2e-04
1,"patch",1,307,"area",0.34,0.0034
1,"patch",1,308,"area",0.01,1e-04
1,"patch",1,309,"area",0.04,4e-04
1,"patch",1,310,"area",0.01,1e-04
1,"patch",1,311,"area",0.07,7e-04
1,"patch",1,312,"area",0.03,3e-04
1,"patch",1,313,"area",3.11,0.0311
1,"patch",1,314,"area",0.01,1e-04
1,"patch",1,315,"area",0.27,0.0027
1,"patch",1,316,"area",0.01,1e-04
1,"patch",1,317,"area",0.11,0.0011
1,"patch",1,318,"area",0.01,1e-04
1,"patch",1,319,"area",0.01,1e-04
1,"patch",1,320,"area",1.75,0.0175
1,"patch",1,321,"area",0.08,8e-04
1,"patch",1,322,"area",0.01,1e-04
1,"patch",1,323,"area",0.02,2e-04
1,"patch",1,324,"area",0.08,8e-04
1,"patch",1,325,"area",0.01,1e-04
1,"patch",1,326,"area",0.25,0.0025
1,"patch",1,327,"area",0.04,4e-04
1,"patch",1,328,"area",0.01,1e-04
1,"patch",1,329,"area",0.09,9e-04
1,"patch",1,330,"area",0.01,1e-04
1,"patch",1,331,"area",0.04,4e-04
1,"patch",1,332,"area",0.15,0.0015
1,"patch",1,333,"area",0.02,2e-04
1,"patch",1,334,"area",0.1,0.001
1,"patch",1,335,"area",0.01,1e-04
1,"patch",1,336,"area",0.01,1e-04
1,"patch",1,337,"area",0.01,1e-04
1,"patch",1,338,"area",0.01,1e-04
1,"patch",1,339,"area",0.02,2e-04
1,"patch",1,340,"area",0.08,8e-04
1,"patch",1,341,"area",0.02,2e-04
1,"patch",1,342,"area",0.01,1e-04
1,"patch",1,343,"area",0.02,2e-04
1,"patch",1,344,"area",0.04,4e-04
1,"patch",1,345,"area",0.02,2e-04
1,"patch",1,346,"area",0.01,1e-04
1,"patch",1,347,"area",0.08,8e-04
1,"patch",1,348,"area",0.01,1e-04
1,"patch",1,349,"area",0.05,5e-04
1,"patch",1,350,"area",0.01,1e-04
1,"patch",1,351,"area",0.07,7e-04
1,"patch",1,352,"area",0.01,1e-04
1,"patch",1,353,"area",0.02,2e-04
1,"patch",1,354,"area",0.13,0.0013
1,"patch",1,355,"area",0.01,1e-04
1,"patch",1,356,"area",0.04,4e-04
1,"patch",1,357,"area",0.02,2e-04
1,"patch",1,358,"area",0.09,9e-04
1,"patch",1,359,"area",0.02,2e-04
1,"patch",1,360,"area",0.01,1e-04
1,"patch",1,361,"area",0.11,0.0011
1,"patch",1,362,"area",0.01,1e-04
1,"patch",1,363,"area",0.02,2e-04
1,"patch",1,364,"area",0.08,8e-04
1,"patch",1,365,"area",0.01,1e-04
1,"patch",1,366,"area",0.12,0.0012
1,"patch",1,367,"area",0.01,1e-04
1,"patch",1,368,"area",0.03,3e-04
1,"patch",1,369,"area",0.01,1e-04
1,"patch",1,370,"area",0.01,1e-04
1,"patch",1,371,"area",0.02,2e-04
1,"patch",1,372,"area",1.51,0.0151
1,"patch",1,373,"area",0.01,1e-04
1,"patch",1,374,"area",0.04,4e-04
1,"patch",1,375,"area",0.02,2e-04
1,"patch",1,376,"area",0.05,5e-04
1,"patch",1,377,"area",0.01,1e-04
1,"patch",1,378,"area",0.01,1e-04
1,"patch",1,379,"area",164.77,1.6477
1,"patch",1,380,"area",0.26,0.0026
1,"patch",1,381,"area",0.08,8e-04
1,"patch",1,382,"area",0.11,0.0011
1,"patch",1,383,"area",0.03,3e-04
1,"patch",1,384,"area",0.01,1e-04
1,"patch",1,385,"area",0.02,2e-04
1,"patch",1,386,"area",0.04,4e-04
1,"patch",1,387,"area",0.02,2e-04
1,"patch",1,388,"area",0.01,1e-04
1,"patch",1,389,"area",0.02,2e-04
1,"patch",1,390,"area",0.02,2e-04
1,"patch",1,391,"area",0.01,1e-04
1,"patch",1,392,"area",0.09,9e-04
1,"patch",1,393,"area",0.02,2e-04
1,"patch",1,394,"area",0.01,1e-04
1,"patch",1,395,"area",0.09,9e-04
1,"patch",1,396,"area",0.01,1e-04
1,"patch",1,397,"area",0.01,1e-04
1,"patch",1,398,"area",0.01,1e-04
1,"patch",1,399,"area",0.03,3e-04
1,"patch",1,400,"area",0.02,2e-04
1,"patch",1,401,"area",0.01,1e-04
1,"patch",1,402,"area",0.11,0.0011
1,"patch",1,403,"area",0.05,5e-04
1,"patch",1,404,"area",0.01,1e-04
1,"patch",1,405,"area",0.16,0.0016
1,"patch",1,406,"area",0.1,0.001
1,"patch",1,407,"area",0.03,3e-04
1,"patch",1,408,"area",0.02,2e-04
1,"patch",1,409,"area",0.02,2e-04
1,"patch",1,410,"area",0.01,1e-04
1,"patch",1,411,"area",0.07,7e-04
1,"patch",1,412,"area",0.01,1e-04
1,"patch",1,413,"area",0.01,1e-04
1,"patch",1,414,"area",0.04,4e-04
1,"patch",1,415,"area",0.1,0.001
1,"patch",1,416,"area",0.12,0.0012
1,"patch",1,417,"area",0.01,1e-04
1,"patch",1,418,"area",0.02,2e-04
1,"patch",1,419,"area",0.01,1e-04
1,"patch",1,420,"area",0.08,8e-04
1,"patch",1,421,"area",0.01,1e-04
1,"patch",1,422,"area",123.16,1.2316
1,"patch",1,423,"area",0.02,2e-04
1,"patch",1,424,"area",0.01,1e-04
1,"patch",1,425,"area",0.08,8e-04
1,"patch",1,426,"area",0.1,0.001
1,"patch",1,427,"area",0.07,7e-04
1,"patch",1,428,"area",0.06,6e-04
1,"patch",1,429,"area",0.01,1e-04
1,"patch",1,430,"area",0.04,4e-04
1,"patch",1,431,"area",0.01,1e-04
1,"patch",1,432,"area",0.04,4e-04
1,"patch",1,433,"area",0.01,1e-04
1,"patch",1,434,"area",0.03,3e-04
1,"patch",1,435,"area",0.02,2e-04
1,"patch",1,436,"area",0.09,9e-04
1,"patch",1,437,"area",0.01,1e-04
1,"patch",1,438,"area",0.35,0.0035
1,"patch",1,439,"area",0.02,2e-04
1,"patch",1,440,"area",0.07,7e-04
1,"patch",1,441,"area",0.11,0.0011
1,"patch",1,442,"area",0.01,1e-04
1,"patch",1,443,"area",0.02,2e-04
1,"patch",1,444,"area",0.03,3e-04
1,"patch",1,445,"area",0.11,0.0011
1,"patch",1,446,"area",0.03,3e-04
1,"patch",1,447,"area",0.01,1e-04
1,"patch",1,448,"area",0.79,0.0079
1,"patch",1,449,"area",0.02,2e-04
1,"patch",1,450,"area",0.01,1e-04
1,"patch",1,451,"area",0.08,8e-04
1,"patch",1,452,"area",0.01,1e-04
1,"patch",1,453,"area",0.01,1e-04
1,"patch",1,454,"area",0.06,6e-04
1,"patch",1,455,"area",0.07,7e-04
1,"patch",1,456,"area",0.1,0.001
1,"patch",1,457,"area",0.05,5e-04
1,"patch",1,458,"area",45.59,0.4559
1,"patch",1,459,"area",0.01,1e-04
1,"patch",1,460,"area",0.04,4e-04
1,"patch",1,461,"area",0.02,2e-04
1,"patch",1,462,"area",0.03,3e-04
