"layer","level","class","id","metric","value"
1,"patch",1,157,"shape",3.91301773637732
1,"patch",1,158,"shape",1.15470053837925
1,"patch",1,159,"shape",2.5222779705485
1,"patch",1,160,"shape",1.06066017177982
1,"patch",1,161,"shape",1.06066017177982
1,"patch",1,162,"shape",2.2444870242563
1,"patch",1,163,"shape",1.33333333333333
1,"patch",1,164,"shape",1.99324398474793
1,"patch",1,165,"shape",1.20604537831105
1,"patch",1,166,"shape",1
1,"patch",1,167,"shape",1
1,"patch",1,168,"shape",1.06066017177982
1,"patch",1,169,"shape",1
1,"patch",1,170,"shape",1.16666666666667
1,"patch",1,171,"shape",1
1,"patch",1,172,"shape",1
1,"patch",1,173,"shape",2.23606797749979
1,"patch",1,174,"shape",4.58424474722617
1,"patch",1,175,"shape",1
1,"patch",1,176,"shape",1.80906806746658
1,"patch",1,177,"shape",2.44948974278318
1,"patch",1,178,"shape",1
1,"patch",1,179,"shape",2.19469056285087
1,"patch",1,180,"shape",1.49082560201043
1,"patch",1,181,"shape",1.54919333848297
1,"patch",1,182,"shape",1.25
1,"patch",1,183,"shape",3.04591939892058
1,"patch",1,184,"shape",1.11803398874989
1,"patch",1,185,"shape",1.41421356237309
1,"patch",1,186,"shape",1
1,"patch",1,187,"shape",1
1,"patch",1,188,"shape",1
1,"patch",1,189,"shape",3.34276466608046
1,"patch",1,190,"shape",1
1,"patch",1,191,"shape",1.49240501448927
1,"patch",1,192,"shape",1
1,"patch",1,193,"shape",1
1,"patch",1,194,"shape",1
1,"patch",1,195,"shape",1
1,"patch",1,196,"shape",1.73205080756888
1,"patch",1,197,"shape",1.41421356237309
1,"patch",1,198,"shape",1.06066017177982
1,"patch",1,199,"shape",1.44337567297406
1,"patch",1,200,"shape",1
1,"patch",1,201,"shape",1.33333333333333
1,"patch",1,202,"shape",1.50755672288882
1,"patch",1,203,"shape",1
1,"patch",1,204,"shape",2.22713828208673
1,"patch",1,205,"shape",2.295559294919
1,"patch",1,206,"shape",1.06066017177982
1,"patch",1,207,"shape",1.30545982401324
1,"patch",1,208,"shape",1.25
1,"patch",1,209,"shape",1.60356745147455
1,"patch",1,210,"shape",1.3228756555323
1,"patch",1,211,"shape",1.75
1,"patch",1,212,"shape",1
1,"patch",1,213,"shape",1.80277563773199
1,"patch",1,214,"shape",1
1,"patch",1,215,"shape",1
1,"patch",1,216,"shape",1.06066017177982
1,"patch",1,217,"shape",1
1,"patch",1,218,"shape",2.1287246255607
1,"patch",1,219,"shape",1
1,"patch",1,220,"shape",1.11803398874989
1,"patch",1,221,"shape",2.9013096638179
1,"patch",1,222,"shape",1.02062072615966
1,"patch",1,223,"shape",2.57538282301542
1,"patch",1,224,"shape",1.06066017177982
1,"patch",1,225,"shape",1.16666666666667
1,"patch",1,226,"shape",1.45960089839952
1,"patch",1,227,"shape",1
1,"patch",1,228,"shape",1.9243372868266
1,"patch",1,229,"shape",2.63273976710929
1,"patch",1,230,"shape",1.11803398874989
1,"patch",1,231,"shape",1
1,"patch",1,232,"shape",1
1,"patch",1,233,"shape",1.69632564165117
1,"patch",1,234,"shape",1.15470053837925
1,"patch",1,235,"shape",5.57106893724862
1,"patch",1,236,"shape",1.26491106406735
1,"patch",1,237,"shape",1
1,"patch",1,238,"shape",1.44337567297406
1,"patch",1,239,"shape",3.7268892841263
1,"patch",1,240,"shape",1.5
1,"patch",1,241,"shape",1.37120688932536
1,"patch",1,242,"shape",1.41421356237309
1,"patch",1,243,"shape",6.13813552141473
1,"patch",1,244,"shape",1.32747697605315
1,"patch",1,245,"shape",1.44337567297406
1,"patch",1,246,"shape",1.41421356237309
1,"patch",1,247,"shape",1.06066017177982
1,"patch",1,248,"shape",1
1,"patch",1,249,"shape",1.56524758424985
1,"patch",1,250,"shape",1.44337567297406
1,"patch",1,251,"shape",1.44337567297406
1,"patch",1,252,"shape",1.43603753135814
1,"patch",1,253,"shape",1
1,"patch",1,254,"shape",1
1,"patch",1,255,"shape",1.37649440322337
1,"patch",1,256,"shape",1.41421356237309
1,"patch",1,257,"shape",2.68512750465431
1,"patch",1,258,"shape",1.25
1,"patch",1,259,"shape",1.80277563773199
1,"patch",1,260,"shape",1.23743686707646
1,"patch",1,261,"shape",1.59111456835146
1,"patch",1,262,"shape",1
1,"patch",1,263,"shape",2.11057941204435
1,"patch",1,264,"shape",1.875
1,"patch",1,265,"shape",1.06066017177982
1,"patch",1,266,"shape",1.50771213309725
1,"patch",1,267,"shape",1
1,"patch",1,268,"shape",1.80739222823013
1,"patch",1,269,"shape",1
1,"patch",1,270,"shape",1
1,"patch",1,271,"shape",1.41421356237309
1,"patch",1,272,"shape",1.06066017177982
1,"patch",1,273,"shape",1
1,"patch",1,274,"shape",1.26178653628809
1,"patch",1,275,"shape",1.53093108923949
1,"patch",1,276,"shape",1.96272389614328
1,"patch",1,277,"shape",1.25
1,"patch",1,278,"shape",1
1,"patch",1,279,"shape",1.41421356237309
1,"patch",1,280,"shape",1
1,"patch",1,281,"shape",1
1,"patch",1,282,"shape",1.20604537831105
1,"patch",1,283,"shape",3.05505046330389
1,"patch",1,284,"shape",1
1,"patch",1,285,"shape",1.34164078649987
1,"patch",1,286,"shape",1
1,"patch",1,287,"shape",2.77746029931765
1,"patch",1,288,"shape",1.48463074209278
1,"patch",1,289,"shape",1.42886901662352
1,"patch",1,290,"shape",1
1,"patch",1,291,"shape",1
1,"patch",1,292,"shape",2.14946326037276
1,"patch",1,293,"shape",4.66120712389525
1,"patch",1,294,"shape",2.17515710035274
1,"patch",1,295,"shape",2.44694323025072
1,"patch",1,296,"shape",1
1,"patch",1,297,"shape",1
1,"patch",1,298,"shape",1.78885438199983
1,"patch",1,299,"shape",1
1,"patch",1,300,"shape",1.15470053837925
1,"patch",1,301,"shape",1.26491106406735
1,"patch",1,302,"shape",6.61353501354162
1,"patch",1,303,"shape",1.06066017177982
1,"patch",1,304,"shape",1
1,"patch",1,305,"shape",4.78997784708354
1,"patch",1,306,"shape",2.5472167179355
1,"patch",1,307,"shape",1.91167510430814
1,"patch",1,308,"shape",1.82264475373153
1,"patch",1,309,"shape",1.41421356237309
1,"patch",1,310,"shape",1.41421356237309
1,"patch",1,311,"shape",1.93649167310371
1,"patch",1,312,"shape",2.33333333333333
1,"patch",1,313,"shape",1.51990004732093
1,"patch",1,314,"shape",1.10679718105893
1,"patch",1,315,"shape",3.88852036744983
1,"patch",1,316,"shape",1.34402045276239
1,"patch",1,317,"shape",1.73529411764706
1,"patch",1,318,"shape",1
1,"patch",1,319,"shape",4.41750668137927
1,"patch",1,320,"shape",1.25
1,"patch",1,321,"shape",1
1,"patch",1,322,"shape",1.83711730708738
1,"patch",1,323,"shape",3.16108546986802
1,"patch",1,324,"shape",1.15470053837925
1,"patch",1,325,"shape",2.01877975473136
1,"patch",1,326,"shape",2.48928996855476
1,"patch",1,327,"shape",2.07823070696827
1,"patch",1,328,"shape",1
1,"patch",1,329,"shape",1.34164078649987
1,"patch",1,330,"shape",1.33026607982661
1,"patch",1,331,"shape",1.15470053837925
1,"patch",1,332,"shape",1.6431676725155
1,"patch",1,333,"shape",1.50755672288882
1,"patch",1,334,"shape",1.22157112967061
1,"patch",1,335,"shape",1.79533124679383
1,"patch",1,336,"shape",1.15470053837925
1,"patch",1,337,"shape",3.00673903126922
1,"patch",1,338,"shape",1.59900537266708
1,"patch",1,339,"shape",1.44337567297406
1,"patch",1,340,"shape",1.06066017177982
1,"patch",1,341,"shape",1.66666666666667
1,"patch",1,342,"shape",2.91098055380289
1,"patch",1,343,"shape",1.35534369137099
1,"patch",1,344,"shape",2.47519338203725
1,"patch",1,345,"shape",1.66410058867569
1,"patch",1,346,"shape",1.34790966504298
1,"patch",1,347,"shape",1.26949089908402
1,"patch",1,348,"shape",1.79837422576831
1,"patch",1,349,"shape",1.06066017177982
1,"patch",1,350,"shape",1.52542553961938
1,"patch",1,351,"shape",1.51894811953223
1,"patch",1,352,"shape",1.8263423325843
