"layer","level","class","id","metric","value","coreareasqkm"
1,"patch",1,183,"core",28.72,0.2872
1,"patch",1,184,"core",0,0
1,"patch",1,185,"core",0,0
1,"patch",1,186,"core",0,0
1,"patch",1,187,"core",0,0
1,"patch",1,188,"core",0,0
1,"patch",1,189,"core",3.08,0.0308
1,"patch",1,190,"core",0,0
1,"patch",1,191,"core",0,0
1,"patch",1,192,"core",0,0
1,"patch",1,193,"core",0,0
1,"patch",1,194,"core",0,0
1,"patch",1,195,"core",0,0
1,"patch",1,196,"core",0,0
1,"patch",1,197,"core",0,0
1,"patch",1,198,"core",0,0
1,"patch",1,199,"core",0,0
1,"patch",1,200,"core",0,0
1,"patch",1,201,"core",0,0
1,"patch",1,202,"core",0,0
1,"patch",1,203,"core",0,0
1,"patch",1,204,"core",0,0
1,"patch",1,205,"core",0,0
1,"patch",1,206,"core",0,0
1,"patch",1,207,"core",0,0
1,"patch",1,208,"core",0,0
1,"patch",1,209,"core",0,0
1,"patch",1,210,"core",0,0
1,"patch",1,211,"core",0,0
1,"patch",1,212,"core",0,0
1,"patch",1,213,"core",0,0
1,"patch",1,214,"core",0,0
1,"patch",1,215,"core",0,0
1,"patch",1,216,"core",0,0
1,"patch",1,217,"core",0,0
1,"patch",1,218,"core",0,0
1,"patch",1,219,"core",0,0
1,"patch",1,220,"core",0,0
1,"patch",1,221,"core",122.1,1.221
1,"patch",1,222,"core",0,0
1,"patch",1,223,"core",0,0
1,"patch",1,224,"core",0,0
1,"patch",1,225,"core",0,0
1,"patch",1,226,"core",0,0
1,"patch",1,227,"core",0,0
1,"patch",1,228,"core",2.19,0.0219
1,"patch",1,229,"core",8.05,0.0805
1,"patch",1,230,"core",0,0
1,"patch",1,231,"core",0,0
1,"patch",1,232,"core",0,0
1,"patch",1,233,"core",15.75,0.1575
1,"patch",1,234,"core",0,0
1,"patch",1,235,"core",0,0
1,"patch",1,236,"core",0,0
1,"patch",1,237,"core",0,0
1,"patch",1,238,"core",0,0
1,"patch",1,239,"core",135.07,1.3507
1,"patch",1,240,"core",0,0
1,"patch",1,241,"core",0,0
1,"patch",1,242,"core",0,0
1,"patch",1,243,"core",141.76,1.4176
1,"patch",1,244,"core",0,0
1,"patch",1,245,"core",0,0
1,"patch",1,246,"core",0,0
1,"patch",1,247,"core",0,0
1,"patch",1,248,"core",0,0
1,"patch",1,249,"core",0,0
1,"patch",1,250,"core",0,0
1,"patch",1,251,"core",0,0
1,"patch",1,252,"core",0,0
1,"patch",1,253,"core",0,0
1,"patch",1,254,"core",0,0
1,"patch",1,255,"core",0,0
1,"patch",1,256,"core",0,0
1,"patch",1,257,"core",1.72,0.0172
1,"patch",1,258,"core",0,0
1,"patch",1,259,"core",0,0
1,"patch",1,260,"core",0,0
1,"patch",1,261,"core",0,0
1,"patch",1,262,"core",0,0
1,"patch",1,263,"core",0,0
1,"patch",1,264,"core",0,0
1,"patch",1,265,"core",0,0
1,"patch",1,266,"core",0,0
1,"patch",1,267,"core",0,0
1,"patch",1,268,"core",0,0
1,"patch",1,269,"core",0,0
1,"patch",1,270,"core",0,0
1,"patch",1,271,"core",0,0
1,"patch",1,272,"core",0,0
1,"patch",1,273,"core",0,0
1,"patch",1,274,"core",0,0
1,"patch",1,275,"core",0,0
1,"patch",1,276,"core",9.92,0.0992
1,"patch",1,277,"core",0,0
1,"patch",1,278,"core",0,0
1,"patch",1,279,"core",0,0
1,"patch",1,280,"core",0,0
1,"patch",1,281,"core",0,0
1,"patch",1,282,"core",0,0
1,"patch",1,283,"core",16.56,0.1656
1,"patch",1,284,"core",0,0
1,"patch",1,285,"core",0,0
1,"patch",1,286,"core",0,0
1,"patch",1,287,"core",0,0
1,"patch",1,288,"core",2.95,0.0295
1,"patch",1,289,"core",0,0
1,"patch",1,290,"core",0,0
1,"patch",1,291,"core",0,0
1,"patch",1,292,"core",0,0
1,"patch",1,293,"core",22.61,0.2261
1,"patch",1,294,"core",0,0
1,"patch",1,295,"core",0,0
1,"patch",1,296,"core",0,0
1,"patch",1,297,"core",0,0
1,"patch",1,298,"core",0,0
1,"patch",1,299,"core",0,0
1,"patch",1,300,"core",0,0
1,"patch",1,301,"core",0,0
1,"patch",1,302,"core",55.16,0.5516
1,"patch",1,303,"core",0,0
1,"patch",1,304,"core",0,0
1,"patch",1,305,"core",0,0
1,"patch",1,306,"core",0,0
1,"patch",1,307,"core",18.21,0.1821
1,"patch",1,308,"core",0,0
1,"patch",1,309,"core",0,0
1,"patch",1,310,"core",0,0
1,"patch",1,311,"core",0,0
1,"patch",1,312,"core",0,0
1,"patch",1,313,"core",0,0
1,"patch",1,314,"core",0,0
1,"patch",1,315,"core",29.88,0.2988
1,"patch",1,316,"core",0,0
1,"patch",1,317,"core",0,0
1,"patch",1,318,"core",0,0
1,"patch",1,319,"core",193.18,1.9318
1,"patch",1,320,"core",0,0
1,"patch",1,321,"core",0,0
1,"patch",1,322,"core",0,0
1,"patch",1,323,"core",83.46,0.8346
1,"patch",1,324,"core",0,0
1,"patch",1,325,"core",0,0
1,"patch",1,326,"core",82.13,0.8213
1,"patch",1,327,"core",10.66,0.1066
1,"patch",1,328,"core",0,0
1,"patch",1,329,"core",0,0
1,"patch",1,330,"core",0,0
1,"patch",1,331,"core",0,0
1,"patch",1,332,"core",0,0
1,"patch",1,333,"core",0,0
1,"patch",1,334,"core",0,0
1,"patch",1,335,"core",0,0
1,"patch",1,336,"core",0,0
1,"patch",1,337,"core",52.29,0.5229
1,"patch",1,338,"core",0,0
1,"patch",1,339,"core",0,0
1,"patch",1,340,"core",0,0
1,"patch",1,341,"core",0,0
1,"patch",1,342,"core",107.88,1.0788
1,"patch",1,343,"core",0,0
1,"patch",1,344,"core",0,0
1,"patch",1,345,"core",0,0
1,"patch",1,346,"core",0,0
1,"patch",1,347,"core",0,0
1,"patch",1,348,"core",0,0
1,"patch",1,349,"core",0,0
1,"patch",1,350,"core",0,0
1,"patch",1,351,"core",0,0
1,"patch",1,352,"core",0,0
1,"patch",1,353,"core",1.75,0.0175
1,"patch",1,354,"core",0,0
1,"patch",1,355,"core",0,0
1,"patch",1,356,"core",0,0
1,"patch",1,357,"core",0,0
