"layer","level","class","id","metric","value"
1,"patch",1,158,"shape",1
1,"patch",1,159,"shape",2.04264871994757
1,"patch",1,160,"shape",2.30973938630687
1,"patch",1,161,"shape",1
1,"patch",1,162,"shape",1.06066017177982
1,"patch",1,163,"shape",1.70560573084488
1,"patch",1,164,"shape",2.56284642891099
1,"patch",1,165,"shape",1
1,"patch",1,166,"shape",1.25092558324419
1,"patch",1,167,"shape",1
1,"patch",1,168,"shape",1.41421356237309
1,"patch",1,169,"shape",1
1,"patch",1,170,"shape",1
1,"patch",1,171,"shape",1.63978318349985
1,"patch",1,172,"shape",1
1,"patch",1,173,"shape",1.41421356237309
1,"patch",1,174,"shape",2.05152484965555
1,"patch",1,175,"shape",1.06066017177982
1,"patch",1,176,"shape",1.06066017177982
1,"patch",1,177,"shape",1.15470053837925
1,"patch",1,178,"shape",3.10395039024823
1,"patch",1,179,"shape",1
1,"patch",1,180,"shape",1.06066017177982
1,"patch",1,181,"shape",1.27920429813366
1,"patch",1,182,"shape",1.1875
1,"patch",1,183,"shape",1.63857606074583
1,"patch",1,184,"shape",1.2810252304407
1,"patch",1,185,"shape",1
1,"patch",1,186,"shape",1.41421356237309
1,"patch",1,187,"shape",1.69108030240523
1,"patch",1,188,"shape",2.75071102623045
1,"patch",1,189,"shape",1
1,"patch",1,190,"shape",1.73205080756888
1,"patch",1,191,"shape",1
1,"patch",1,192,"shape",1.75
1,"patch",1,193,"shape",1.41421356237309
1,"patch",1,194,"shape",2.64697582061497
1,"patch",1,195,"shape",1
1,"patch",1,196,"shape",1.65748386032949
1,"patch",1,197,"shape",1.02062072615966
1,"patch",1,198,"shape",1
1,"patch",1,199,"shape",1.3228756555323
1,"patch",1,200,"shape",2.01246117974981
1,"patch",1,201,"shape",1.06066017177982
1,"patch",1,202,"shape",1.93649167310371
1,"patch",1,203,"shape",1.41421356237309
1,"patch",1,204,"shape",1.06066017177982
1,"patch",1,205,"shape",1.37649440322337
1,"patch",1,206,"shape",2.16879605836457
1,"patch",1,207,"shape",1.41421356237309
1,"patch",1,208,"shape",1.02062072615966
1,"patch",1,209,"shape",1.36108930734324
1,"patch",1,210,"shape",1.25
1,"patch",1,211,"shape",1
1,"patch",1,212,"shape",1.20267558860591
1,"patch",1,213,"shape",1.56892908110547
1,"patch",1,214,"shape",1.5
1,"patch",1,215,"shape",1
1,"patch",1,216,"shape",1.73365233431655
1,"patch",1,217,"shape",1.57648156273616
1,"patch",1,218,"shape",1.11803398874989
1,"patch",1,219,"shape",1.06066017177982
1,"patch",1,220,"shape",1.72315299936039
1,"patch",1,221,"shape",1.71857725898495
1,"patch",1,222,"shape",1.80739222823013
1,"patch",1,223,"shape",1.41421356237309
1,"patch",1,224,"shape",1.24807544150677
1,"patch",1,225,"shape",1.34164078649987
1,"patch",1,226,"shape",1.5
1,"patch",1,227,"shape",1.5
1,"patch",1,228,"shape",1.25
1,"patch",1,229,"shape",1.39088928486592
1,"patch",1,230,"shape",3.68114873265719
1,"patch",1,231,"shape",1
1,"patch",1,232,"shape",2.09478587303841
1,"patch",1,233,"shape",1.25
1,"patch",1,234,"shape",1.3
1,"patch",1,235,"shape",1.25108648434245
1,"patch",1,236,"shape",1.32453235706504
1,"patch",1,237,"shape",1.10940039245046
1,"patch",1,238,"shape",1
1,"patch",1,239,"shape",2.09001957363605
1,"patch",1,240,"shape",2.59612826265482
1,"patch",1,241,"shape",1
1,"patch",1,242,"shape",1.25
1,"patch",1,243,"shape",1.3228756555323
1,"patch",1,244,"shape",1.34164078649987
1,"patch",1,245,"shape",1.45773797371132
1,"patch",1,246,"shape",3.40168025708304
1,"patch",1,247,"shape",1.33630620956212
1,"patch",1,248,"shape",1.94307427403293
1,"patch",1,249,"shape",1.25723711418742
1,"patch",1,250,"shape",1.41421356237309
1,"patch",1,251,"shape",1.41421356237309
1,"patch",1,252,"shape",1.77810253943588
1,"patch",1,253,"shape",1.23743686707646
1,"patch",1,254,"shape",3.18238197447235
1,"patch",1,255,"shape",1.39457984395891
1,"patch",1,256,"shape",1.3
1,"patch",1,257,"shape",1.5
1,"patch",1,258,"shape",1.35224680756563
1,"patch",1,259,"shape",1.02062072615966
1,"patch",1,260,"shape",1.06066017177982
1,"patch",1,261,"shape",2.76037447377976
1,"patch",1,262,"shape",1.15470053837925
1,"patch",1,263,"shape",1
1,"patch",1,264,"shape",1
1,"patch",1,265,"shape",1.24807544150677
1,"patch",1,266,"shape",1.02062072615966
1,"patch",1,267,"shape",1.11803398874989
1,"patch",1,268,"shape",2.33333333333333
1,"patch",1,269,"shape",1.6556654463313
1,"patch",1,270,"shape",1.34164078649987
1,"patch",1,271,"shape",1.56524758424985
1,"patch",1,272,"shape",1.06066017177982
1,"patch",1,273,"shape",1.41421356237309
1,"patch",1,274,"shape",1
1,"patch",1,275,"shape",1
1,"patch",1,276,"shape",1.44337567297406
1,"patch",1,277,"shape",1.75
1,"patch",1,278,"shape",2.77350098112615
1,"patch",1,279,"shape",1
1,"patch",1,280,"shape",1
1,"patch",1,281,"shape",1
1,"patch",1,282,"shape",1
1,"patch",1,283,"shape",1.06066017177982
1,"patch",1,284,"shape",1.41421356237309
1,"patch",1,285,"shape",1.63299316185545
1,"patch",1,286,"shape",1.8
1,"patch",1,287,"shape",1.34164078649987
1,"patch",1,288,"shape",1
1,"patch",1,289,"shape",1
1,"patch",1,290,"shape",1.35534369137099
1,"patch",1,291,"shape",1
1,"patch",1,292,"shape",2.26778683805536
1,"patch",1,293,"shape",1
1,"patch",1,294,"shape",1
1,"patch",1,295,"shape",2.01246117974981
1,"patch",1,296,"shape",1
1,"patch",1,297,"shape",1.06066017177982
1,"patch",1,298,"shape",1.41421356237309
1,"patch",1,299,"shape",1
1,"patch",1,300,"shape",1.06066017177982
1,"patch",1,301,"shape",1
1,"patch",1,302,"shape",1.15470053837925
1,"patch",1,303,"shape",1
1,"patch",1,304,"shape",1
1,"patch",1,305,"shape",2.56284642891099
1,"patch",1,306,"shape",1.41421356237309
1,"patch",1,307,"shape",1.20049009599756
1,"patch",1,308,"shape",1
1,"patch",1,309,"shape",2
1,"patch",1,310,"shape",1
1,"patch",1,311,"shape",1.88982236504614
1,"patch",1,312,"shape",1.44337567297406
1,"patch",1,313,"shape",2.12642991421404
1,"patch",1,314,"shape",1
1,"patch",1,315,"shape",4.61880215351701
1,"patch",1,316,"shape",1
1,"patch",1,317,"shape",2.26133508433323
1,"patch",1,318,"shape",1
1,"patch",1,319,"shape",1
1,"patch",1,320,"shape",1.70084012854152
1,"patch",1,321,"shape",1.59099025766973
1,"patch",1,322,"shape",1
1,"patch",1,323,"shape",1.41421356237309
1,"patch",1,324,"shape",1.41421356237309
1,"patch",1,325,"shape",1
1,"patch",1,326,"shape",1.4
1,"patch",1,327,"shape",1.5
1,"patch",1,328,"shape",1
1,"patch",1,329,"shape",2.5
1,"patch",1,330,"shape",1
1,"patch",1,331,"shape",1.25
1,"patch",1,332,"shape",3.35658556671309
1,"patch",1,333,"shape",1.06066017177982
1,"patch",1,334,"shape",1.89736659610103
