"Rowid","min","median","max","mean","patch_areasqkm"
1,5.06982723891269e-05,0.095354687422514,10.5848226547241,0.127105288659753,306.483387789884
2,0.000768941652495414,0.000768941652495414,0.000768941652495414,0.000768941652495414,9.99200606365776e-05
3,0.095391720533371,0.095391720533371,0.095391720533371,0.095391720533371,9.99209764311672e-05
4,0.095391720533371,0.095391720533371,0.095391720533371,0.095391720533371,0.000299752496057656
5,0.00498130498453975,0.00498130498453975,0.00498130498453975,0.00498130498453975,9.99201364780893e-05
6,0.095391720533371,0.095391720533371,0.095391720533371,0.095391720533371,0.000199841979237885
7,0.095391720533371,0.095391720533371,0.095391720533371,0.095391720533371,0.000299763005925663
8,0.095391720533371,0.095391720533371,0.095391720533371,0.095391720533371,0.000999210283749679
9,0.095391720533371,0.095391720533371,0.095391720533371,0.095391720533371,9.99174722699245e-05
10,0.000251033168751746,0.000302663393085822,0.000643140752799809,0.000364262571868797,0.000599505789626084
11,0.095391720533371,0.095391720533371,0.095391720533371,0.095391720533371,9.99174610930058e-05
12,0.095391720533371,0.095391720533371,0.095391720533371,0.095391720533371,0.00099921121088638
13,0.095391720533371,0.095391720533371,0.095391720533371,0.095391720533371,0.00149876038025728
14,0.00161846564151347,0.00161846564151347,0.00161846564151347,0.00161846564151347,9.9917662786349e-05
15,0.095391720533371,0.095391720533371,0.095391720533371,0.095391720533371,0.00079936994385795
16,0.095391720533371,0.095391720533371,0.095391720533371,0.095391720533371,9.99171811351989e-05
17,0.095391720533371,0.095391720533371,0.095391720533371,0.095391720533371,0.000199842618288589
18,0.095391720533371,0.095391720533371,0.095391720533371,0.095391720533371,0.000899292363110726
19,0.095391720533371,0.095391720533371,0.095391720533371,0.095391720533371,0.00339717276667536
20,0.095391720533371,0.095391720533371,0.095391720533371,0.095391720533371,0.00109913645753017
21,0.095391720533371,0.095391720533371,0.095391720533371,0.095391720533371,0.00109913799846199
22,0.095391720533371,0.095391720533371,0.095391720533371,0.095391720533371,9.99165846512769e-05
23,0.095391720533371,0.095391720533371,0.095391720533371,0.095391720533371,0.000599530528197851
24,0.095391720533371,0.095391720533371,0.095391720533371,0.095391720533371,0.000799331097590621
25,0.095391720533371,0.095391720533371,0.095391720533371,0.095391720533371,9.99164953049476e-05
26,0.095391720533371,0.095391720533371,0.095391720533371,0.095391720533371,0.000199832621354988
27,0.095391720533371,0.095391720533371,0.095391720533371,0.095391720533371,0.000199832520597047
28,0.095391720533371,0.095391720533371,0.095391720533371,0.095391720533371,0.000199832418250648
29,0.095391720533371,0.095391720533371,0.095391720533371,0.095391720533371,9.9916164912167e-05
30,0.095391720533371,0.095391720533371,0.095391720533371,0.095391720533371,0.000199832240205156
31,0.095391720533371,0.095391720533371,0.095391720533371,0.095391720533371,0.000199832138835904
32,0.095391720533371,0.095391720533371,0.095391720533371,0.095391720533371,9.99160255345341e-05
33,0.095391720533371,0.095391720533371,0.095391720533371,0.095391720533371,0.00139882263756939
34,0.095391720533371,0.095391720533371,0.095391720533371,0.095391720533371,0.000599531329609701
35,0.095391720533371,0.095391720533371,0.095391720533371,0.095391720533371,0.000299747501553007
36,0.095391720533371,0.095391720533371,0.095391720533371,0.095391720533371,0.000199844057220704
37,0.095391720533371,0.095391720533371,0.095391720533371,0.095391720533371,0.000299747462923813
38,0.095391720533371,0.095391720533371,0.095391720533371,0.095391720533371,9.9922052835027e-05
39,0,0.196081325411797,1346.02819824219,0.190656605281302,80.3312591125199
40,0.095391720533371,0.095391720533371,0.095391720533371,0.095391720533371,0.000299747423265391
41,0.095391720533371,0.095391720533371,0.095391720533371,0.095391720533371,0.000199844181361521
42,0.095391720533371,0.095391720533371,0.095391720533371,0.095391720533371,0.000199844206809648
43,0.06916693598032,0.128029599785805,10.5828628540039,2.24175374358892,0.00089929915595676
44,0.095391720533371,0.095391720533371,0.095391720533371,0.095391720533371,0.000299747386788251
45,0.095391720533371,0.095391720533371,0.095391720533371,0.095391720533371,0.000299747348322271
46,0.0110922520980239,0.0125558199360967,0.0140193877741694,0.0125558199360967,0.00019984430590432
47,0.00936500821262598,0.00936500821262598,0.00936500821262598,0.00936500821262598,9.99221658005117e-05
48,0.00724493386223912,0.00824426836334169,0.00924360286444426,0.00824426836334169,0.000199844356118847
49,0.095391720533371,0.095391720533371,0.095391720533371,0.095391720533371,0.000399663079745893
50,0.00428793672472239,0.00428793672472239,0.00428793672472239,0.00428793672472239,9.9922190558922e-05
51,0.000436639908002689,0.000436639908002689,0.000436639908002689,0.000436639908002689,9.99036568877636e-05
52,0.000455234403489158,0.00171632843557745,0.00193005369510502,0.00139641821310347,0.00109893891175125
53,0.095391720533371,0.095391720533371,0.095391720533371,0.095391720533371,0.000399663029427291
54,0.000807950913440436,0.000896543584531173,0.00098513625562191,0.000896543584531173,0.000299713975571998
55,0.000104091974208131,0.000344144849805161,0.000529054668731987,0.00033035908563761,0.000599534677516727
56,0.000848352327011526,0.000997255614493042,0.00114615890197456,0.000997255614493042,0.000199809409382724
57,0.095391720533371,0.095391720533371,0.095391720533371,0.095391720533371,0.000499578722310369
58,0.00084803206846118,0.000944113300647587,0.00104019453283399,0.000944113300647587,0.000199845017294938
59,0.000668383436277509,0.000921167549677193,0.00117395166307688,0.000921167549677193,0.000199809593312122
60,0.00122464401647449,0.00138087314553559,0.00153710227459669,0.00138087314553559,0.000199845092624397
61,0.00170071632601321,0.00217766384594142,0.00236638379283249,0.00208158798826238,0.000299767769946644
62,0.00221004174090922,0.00259688391815871,0.0029837260954082,0.00259688391815871,0.000199845267089971
63,0.00323460926301777,0.00323460926301777,0.00323460926301777,0.00323460926301777,9.99226645323943e-05
64,0.00412223394960165,0.00412223394960165,0.00412223394960165,0.00412223394960165,9.99227143535099e-05
65,0.00567334936931729,0.00567334936931729,0.00567334936931729,0.00567334936931729,9.99227518037224e-05
66,0.0213770512491465,0.0213770512491465,0.0213770512491465,0.0213770512491465,9.99227892798663e-05
67,0.095391720533371,0.095391720533371,0.095391720533371,0.095391720533371,9.99228767756867e-05
68,0.0168400071561337,0.095391720533371,0.095391720533371,0.0798316512256861,0.00129899893821719
69,0.095391720533371,0.095391720533371,0.095391720533371,0.095391720533371,0.000399662926850317
70,0.00167847564443946,0.00172465929063037,0.00195479393005371,0.00177064703893848,0.000399619922886661
71,0.00136873009614646,0.00136962113901973,0.00162640830967575,0.00145491984828065,0.000299715316739122
72,0.095391720533371,0.095391720533371,0.095391720533371,0.095391720533371,0.000499578595400963
73,0.0026548991445452,0.00303319469094276,0.00342323142103851,0.0030414848588407,0.000599538851411562
74,0.000142601536936127,0.000463044503703713,0.00101063179317862,0.000535602678105028,0.000899309138949582
75,0.00183302268851548,0.00327848416054621,0.00472394563257694,0.00327848416054621,0.000299715592576598
76,0.095391720533371,0.095391720533371,0.095391720533371,0.095391720533371,0.0003996628244475
