"layer","level","class","id","metric","value","prop_edge"
1,"patch",1,168,"cai",0,100
1,"patch",1,169,"cai",0,100
1,"patch",1,170,"cai",0,100
1,"patch",1,171,"cai",0,100
1,"patch",1,172,"cai",0,100
1,"patch",1,173,"cai",0,100
1,"patch",1,174,"cai",19.1319895968791,80.8680104031209
1,"patch",1,175,"cai",0,100
1,"patch",1,176,"cai",0,100
1,"patch",1,177,"cai",0,100
1,"patch",1,178,"cai",0,100
1,"patch",1,179,"cai",0,100
1,"patch",1,180,"cai",0,100
1,"patch",1,181,"cai",0,100
1,"patch",1,182,"cai",0,100
1,"patch",1,183,"cai",35.1057327955018,64.8942672044982
1,"patch",1,184,"cai",0,100
1,"patch",1,185,"cai",0,100
1,"patch",1,186,"cai",0,100
1,"patch",1,187,"cai",0,100
1,"patch",1,188,"cai",0,100
1,"patch",1,189,"cai",12.7960116327378,87.2039883672622
1,"patch",1,190,"cai",0,100
1,"patch",1,191,"cai",0,100
1,"patch",1,192,"cai",0,100
1,"patch",1,193,"cai",0,100
1,"patch",1,194,"cai",0,100
1,"patch",1,195,"cai",0,100
1,"patch",1,196,"cai",0,100
1,"patch",1,197,"cai",0,100
1,"patch",1,198,"cai",0,100
1,"patch",1,199,"cai",0,100
1,"patch",1,200,"cai",0,100
1,"patch",1,201,"cai",0,100
1,"patch",1,202,"cai",0,100
1,"patch",1,203,"cai",0,100
1,"patch",1,204,"cai",0,100
1,"patch",1,205,"cai",0,100
1,"patch",1,206,"cai",0,100
1,"patch",1,207,"cai",0,100
1,"patch",1,208,"cai",0,100
1,"patch",1,209,"cai",0,100
1,"patch",1,210,"cai",0,100
1,"patch",1,211,"cai",0,100
1,"patch",1,212,"cai",0,100
1,"patch",1,213,"cai",0,100
1,"patch",1,214,"cai",0,100
1,"patch",1,215,"cai",0,100
1,"patch",1,216,"cai",0,100
1,"patch",1,217,"cai",0,100
1,"patch",1,218,"cai",0,100
1,"patch",1,219,"cai",0,100
1,"patch",1,220,"cai",0,100
1,"patch",1,221,"cai",55.4571467502385,44.5428532497615
1,"patch",1,222,"cai",0,100
1,"patch",1,223,"cai",0,100
1,"patch",1,224,"cai",0,100
1,"patch",1,225,"cai",0,100
1,"patch",1,226,"cai",0,100
1,"patch",1,227,"cai",0,100
1,"patch",1,228,"cai",11.9151251360174,88.0848748639826
1,"patch",1,229,"cai",18.4294871794872,81.5705128205128
1,"patch",1,230,"cai",0,100
1,"patch",1,231,"cai",0,100
1,"patch",1,232,"cai",0,100
1,"patch",1,233,"cai",40.7187176835574,59.2812823164426
1,"patch",1,234,"cai",0,100
1,"patch",1,235,"cai",0,100
1,"patch",1,236,"cai",0,100
1,"patch",1,237,"cai",0,100
1,"patch",1,238,"cai",0,100
1,"patch",1,239,"cai",49.2812317571512,50.7187682428488
1,"patch",1,240,"cai",0,100
1,"patch",1,241,"cai",0,100
1,"patch",1,242,"cai",0,100
1,"patch",1,243,"cai",37.5901569792109,62.4098430207891
1,"patch",1,244,"cai",0,100
1,"patch",1,245,"cai",0,100
1,"patch",1,246,"cai",0,100
1,"patch",1,247,"cai",0,100
1,"patch",1,248,"cai",0,100
1,"patch",1,249,"cai",0,100
1,"patch",1,250,"cai",0,100
1,"patch",1,251,"cai",0,100
1,"patch",1,252,"cai",0,100
1,"patch",1,253,"cai",0,100
1,"patch",1,254,"cai",0,100
1,"patch",1,255,"cai",0,100
1,"patch",1,256,"cai",0,100
1,"patch",1,257,"cai",7.39466895958727,92.6053310404127
1,"patch",1,258,"cai",0,100
1,"patch",1,259,"cai",0,100
1,"patch",1,260,"cai",0,100
1,"patch",1,261,"cai",0,100
1,"patch",1,262,"cai",0,100
1,"patch",1,263,"cai",0,100
1,"patch",1,264,"cai",0,100
1,"patch",1,265,"cai",0,100
1,"patch",1,266,"cai",0,100
1,"patch",1,267,"cai",0,100
1,"patch",1,268,"cai",0,100
1,"patch",1,269,"cai",0,100
1,"patch",1,270,"cai",0,100
1,"patch",1,271,"cai",0,100
1,"patch",1,272,"cai",0,100
1,"patch",1,273,"cai",0,100
1,"patch",1,274,"cai",0,100
1,"patch",1,275,"cai",0,100
1,"patch",1,276,"cai",26.9858541893362,73.0141458106638
1,"patch",1,277,"cai",0,100
1,"patch",1,278,"cai",0,100
1,"patch",1,279,"cai",0,100
1,"patch",1,280,"cai",0,100
1,"patch",1,281,"cai",0,100
