"","costFunction","fromCell","toCell","cost","START_CODE","END_CODE"
"1",NA,59254091,60465918,16.4388046301769,"Terraba-Sierpe_Start_3","End0001"
"2",NA,59254091,55221156,16.5777322437751,"Terraba-Sierpe_Start_3","End0002"
"3",NA,59254091,51519941,16.7112813403056,"Terraba-Sierpe_Start_3","End0003"
"4",NA,59254091,45559919,16.6292838018377,"Terraba-Sierpe_Start_3","End0004"
"5",NA,59254091,40428736,17.4409006177104,"Terraba-Sierpe_Start_3","End0005"
"6",NA,59254091,33686081,17.4582635227189,"Terraba-Sierpe_Start_3","End0006"
"7",NA,59254091,37783448,17.0752069151978,"Terraba-Sierpe_Start_3","End0007"
"8",NA,59254091,33560429,16.8178072427485,"Terraba-Sierpe_Start_3","End0008"
"9",NA,59254091,23855781,17.0861289341804,"Terraba-Sierpe_Start_3","End0009"
"10",NA,59254091,16148198,17.4632578362602,"Terraba-Sierpe_Start_3","End0010"
"11",NA,59254091,5953459,18.4950253606677,"Terraba-Sierpe_Start_3","End0011"
"12",NA,59254091,458790,19.190670628027,"Terraba-Sierpe_Start_3","End0012"
"13",NA,59254091,6565162,19.7082451569006,"Terraba-Sierpe_Start_3","End0013"
"14",NA,59254091,3113759,20.5067887402227,"Terraba-Sierpe_Start_3","End0014"
