"Start","minLCP_length_km","medianLCP_length_km","maxLCP_length_km","minelevation_range","medianelevation_range","maxelevation_range","minpct_protected","medianpct_protected","maxpct_protected","minnPA","mediannPA","maxnPA","minpct_sinacbc","medianpct_sinacbc","maxpct_sinacbc","minnBC","mediannBC","maxnBC","mincanopy_mean","mediancanopy_mean","maxcanopy_mean","minpct_forest","medianpct_forest","maxpct_forest","minnForestPatches","mediannForestPatches","maxnForestPatches","minnForestPatches_perkm","mediannForestPatches_perkm","maxnForestPatches_perkm","minpct_ag","medianpct_ag","maxpct_ag","minnAgPatches","mediannAgPatches","maxnAgPatches","minnAgPatches_perkm","mediannAgPatches_perkm","maxnAgPatches_perkm","minnTotalRoads","mediannTotalRoads","maxnTotalRoads","minnTotalRoads_perkm","mediannTotalRoads_perkm","maxnTotalRoads_perkm","LCP_length_km","elevation_range","pct_protected","nPA","pct_sinacbc","nBC","canopy_mean","pct_forest","nForestPatches","nForestPatches_perkm","pct_ag","nAgPatches","nAgPatches_perkm","nTotalRoads","nTotalRoads_perkm"
"Corcovado",128.404341114652,135.499967367742,140.279333777136,1700.41982960701,1700.41982960701,1932.32778859138,42.4858080240085,45.390395251626,47.7114447189659,5,5,6,40.7049965202073,51.4274904028088,54.4338555753746,5,5,6,25.7190486087569,25.7919261344853,26.0895646442449,78.2102162688984,79.2611884310589,80.0821295083314,257,265,297,1.90405949914214,2.01255881072553,2.11720423816561,14.7135429413009,16.0034873938313,16.9433894298748,1354,1379,1502,10.177124222159,10.6528532004188,10.7168756671135,59,80,149,0.435424459106149,0.62303189522672,1.06216643598207,"128, 135, 140","1700, 1700, 1932","42, 45, 48","5, 5, 6","41, 51, 54","5, 5, 6","26, 26, 26","78, 79, 80","257, 265, 297","2, 2, 2","15, 16, 17","1354, 1379, 1502","10, 11, 11","59, 80, 149","0, 1, 1"
"GD",113.065474184094,120.235658878411,124.44703801716,1626.11078500748,1641.43549203873,1936.8239197731,38.8911369672134,41.3708353901316,44.2744297770544,4,4,6,38.3119016335517,50.8574815000444,54.279749516875,12,12,13,26.4222755431477,26.5879086456541,26.706382462087,74.3246325064434,76.0170118381821,76.6784637036765,210,216,259,1.69550037800743,1.90949598757627,2.13150832947999,12.0001000140392,13.7137717398788,14.6040057911052,1165,1191,1332,9.57033625690448,10.2989019700294,11.6834958640791,85,106,174,0.683021479292091,0.937067475384653,1.41201905030626,"113, 120, 124","1626, 1641, 1937","39, 41, 44","4, 4, 6","38, 51, 54","12, 12, 13","26, 27, 27","74, 76, 77","210, 216, 259","2, 2, 2","12, 14, 15","1165, 1191, 1332","10, 10, 12","85, 106, 174","1, 1, 1"
"Golfito",63.8584155620761,70.1043014819115,72.0910128779047,1490.32110071182,1630.77666711807,1925.12407922745,7.92200967443299,9.55119048141191,16.1257003610467,3,5,5,58.2505404576715,70.9743167560235,90.9220983664889,1,1,3,25.7921370275677,26.0365324910391,26.0762568248317,72.9183075742864,73.7886376417265,74.8953310702243,162,184,201,2.28328630295997,2.55232923848119,2.9126936264053,15.9730940099844,18.4970697908736,20.2451976260855,899,1042,1073,12.6708295454384,14.4539514483554,16.802797102865,68,118,161,0.958416472847397,1.63681983772163,2.33022065000008,"64, 70, 72","1490, 1631, 1925","8, 10, 16","3, 5, 5","58, 71, 91","1, 1, 3","26, 26, 26","73, 74, 75","162, 184, 201","2, 3, 3","16, 18, 20","899, 1042, 1073","13, 14, 17","68, 118, 161","1, 2, 2"
"Osa",149.628688956993,156.815442193805,161.487870303289,1700.41982960701,1700.41982960701,1932.32778859138,50.9007491347513,53.8602033446668,55.4401742461763,6,6,7,34.802296428889,43.8244399492635,45.9898882035269,6,6,7,26.2209385166384,26.2829546557302,26.5075656624793,80.6306948315745,81.3827434267859,82.1086712901988,281,288,321,1.79829228585461,1.88881843236421,1.9877653931353,13.2087833453106,14.3149908409061,15.0216344105143,1628,1652,1771,10.5346767951483,10.9614169482887,11.0025232116265,61,82,149,0.388992302968551,0.548023247223456,0.922669917685855,"150, 157, 161","1700, 1700, 1932","51, 54, 55","6, 6, 7","35, 44, 46","6, 6, 7","26, 26, 27","81, 81, 82","281, 288, 321","2, 2, 2","13, 14, 15","1628, 1652, 1771","11, 11, 11","61, 82, 149","0, 1, 1"
"PB",65.9301500118813,73.0920504349513,76.2665899468281,1598.89588928223,1623.07718372345,1918.46561145782,16.5674358990254,17.8052023729978,23.587669426008,3,3,5,52.4572534714488,75.1107442045155,83.3695119693789,3,3,4,25.3679486655924,25.5825595978581,25.7164657481251,73.1251341791765,74.4640826956255,77.0116767679343,179,185,243,2.34703033300422,2.80478634791969,3.41270268548536,16.765084621305,18.442120524829,20.4818629031465,982,1006,1131,13.046341795191,14.8881091549034,16.9876755899716,58,80,147,0.760490275498573,1.21288058288419,1.95703508398659,"66, 73, 76","1599, 1623, 1918","17, 18, 24","3, 3, 5","52, 75, 83","3, 3, 4","25, 26, 26","73, 74, 77","179, 185, 243","2, 3, 3","17, 18, 20","982, 1006, 1131","13, 15, 17","58, 80, 147","1, 1, 2"
"Pejeperro",155.012672482719,162.121191954622,166.303560627945,1626.11078500748,1641.43549203873,1936.8239197731,50.8419909546572,53.5507432119518,55.2268682590269,7,7,9,31.1804040595864,40.9391315401388,43.0702088187285,13,13,14,26.9081345327925,27.0376179883739,27.1478790015173,77.7728326897737,78.9568968332454,79.4882499233063,235,242,283,1.41307858420267,1.49271046605515,1.82560290948769,11.1483277584439,12.4818515935026,13.1435249237836,1471,1495,1638,8.92945403208923,9.0734590725914,10.5665638365401,97,118,186,0.583270734755997,0.727850557828542,1.19986622319686,"155, 162, 166","1626, 1641, 1937","51, 54, 55","7, 7, 9","31, 41, 43","13, 13, 14","27, 27, 27","78, 79, 79","235, 242, 283","1, 1, 2","11, 12, 13","1471, 1495, 1638","9, 9, 11","97, 118, 186","1, 1, 1"
"TS1",81.8991139089174,86.9687394441334,94.2144162035631,1415.07872390747,1928.09337234497,2932.49449539185,3.05633583297829,4.68506267601261,7.56742909911006,3,3,3,3.38837119766816,3.69665325261098,9.25875111997184,1,1,2,22.4400739696866,22.8230086881578,23.2820180699725,57.3105368735141,58.9975165919912,61.2049761551583,303,305,328,3.34980055611137,3.50700725282933,3.72409401570816,28.8289147596699,29.7001282183125,31.2134946043895,822,943,981,9.53216069703447,10.412419240389,11.1576500618863,211,211,252,2.2395723340694,2.45235850318543,3.0769563670769,"82, 87, 94","1415, 1928, 2932","3, 5, 8","3, 3, 3","3, 4, 9","1, 1, 2","22, 23, 23","57, 59, 61","303, 305, 328","3, 4, 4","29, 30, 31","822, 943, 981","10, 10, 11","211, 211, 252","2, 2, 3"
"TS2",81.8802986141804,89.0090619522603,93.7992940561707,1700.29963827133,1700.29963827133,1932.20759725571,11.315140589818,12.3622315779097,18.2857419299959,4,4,5,63.7221711291669,80.7479890835422,88.1947260209821,3,3,4,24.1814919550499,24.3450008723576,24.9156897024363,70.8435031359382,73.1859906446475,74.3482389372918,239,246,276,2.57785878909394,2.90981608298393,3.36891874624718,18.6534965842412,20.7685873770645,22.7106738814575,1118,1143,1261,11.9190662493739,13.9594019482734,15.3920526776003,50,71,140,0.539301001902497,0.756935334262563,1.70887182780654,"82, 89, 94","1700, 1700, 1932","11, 12, 18","4, 4, 5","64, 81, 88","3, 3, 4","24, 24, 25","71, 73, 74","239, 246, 276","3, 3, 3","19, 21, 23","1118, 1143, 1261","12, 14, 15","50, 71, 140","1, 1, 2"
