"LCP_ID","Biomass_mean","Biomass_min","Biomass_max","Biomass_range","Origin","Cost","elevation_mean","elevation_min","elevation_max","elevation_range","slope_mean","slope_min","slope_max","slope_range","nPA","Start","PAareasqkm","LCP_areasqkm","pct_protected","nTotalRoads","nPrimaria","nSecundaria","nOtherRoads","nForestPatches","nAgPatches","pct_forest","pct_ag","LCP_density_min","LCP_density_max","LCP_density_median","LCP_density_mean","LCP_density_range","nIntersectingCorridors","LCP_pct_overlap","LCP_pct_unique","LCP_length_km","nTotalRoads_perkm","nForestPatches_perkm","nAgPatches_perkm"
"corcovado_LCP_top5_1",80.9665312268274,5.81228685379028,154.863327026367,149.051040172577,"corcovado_LCP_top5",12.9141972795324,612.588305948674,-2.48493719100952,1698.74536132812,1701.23029851913,13.6668336386339,9.93923349559222e-17,63.3632354736328,63.3632354736328,6,"Corcovado",107.474118420166,247.508662117084,43.4223665147226,157,1,8,148,280,1357,80.162002534741,13.4579936375087,3,32,10,11.5657894736842,29,38,100,0,140.316220268736,1.11890129095062,1.99549274819219,9.67101306891713
"corcovado_LCP_top5_2",80.853697820896,5.81228685379028,154.863327026367,149.051040172577,"corcovado_LCP_top5",12.9583685646188,587.959696435054,-2.48493719100952,1698.74536132812,1701.23029851913,13.6733749322061,9.93923349559222e-17,63.3632354736328,63.3632354736328,6,"Corcovado",109.229936604923,236.555060067636,46.1752695434591,133,1,9,123,265,1187,79.7524685990899,14.0454826840314,5,32,14,12.9655172413793,27,38,100,0,132.827074289211,1.0013018860177,1.99507518642625,8.93643111806777
"corcovado_LCP_top5_3",81.1951202661797,5.81228685379028,154.863327026367,149.051040172577,"corcovado_LCP_top5",13.0919176611494,599.793293355715,-2.48493719100952,1698.74536132812,1701.23029851913,13.707338346352,9.93923349559222e-17,63.3632354736328,63.3632354736328,6,"Corcovado",112.713230308614,242.551614132428,46.4697918881197,133,1,9,123,261,1197,80.1967039863924,13.8432391473048,5,32,14,12.8322147651007,27,38,100,0,135.635379480868,0.980570117538991,1.92427669682464,8.82513105785092
"corcovado_LCP_top5_4",80.2265075338434,8.55594635009766,154.863327026367,146.30738067627,"corcovado_LCP_top5",12.9946782317982,519.712378928324,-2.48493719100952,1702.84680175781,1705.33173894882,14.4012226525778,9.93923349559222e-17,65.2428131103516,65.2428131103516,5,"Corcovado",105.960105965337,236.84065588241,44.7389851926205,60,1,5,54,231,1266,80.2091597374725,15.5341150626886,5,32,15,13.2040816326531,27,34,100,0,133.138056804866,0.45066002493892,1.73504109601484,9.5089265262112
"corcovado_LCP_top5_5",81.1195581801698,8.55594635009766,154.863327026367,146.30738067627,"corcovado_LCP_top5",13.8062950476709,570.893046865321,-2.48493719100952,1930.6533203125,1933.13825750351,14.4601273034814,9.93923349559222e-17,65.2428131103516,65.2428131103516,5,"Corcovado",117.492591542005,250.046815440535,46.9882375166448,60,1,5,54,232,1277,80.6708534338326,15.3031743006141,5,32,15,12.8397435897436,27,34,100,0,140.030180173702,0.428479060196684,1.65678569942718,9.11946266451942
"golfito_LCP_top5_10",78.3526820850437,13.7162294387817,168.731658935547,155.015429496765,"golfito_LCP_top5",8.57203255245166,769.444540397412,-0.777342677116394,1930.6533203125,1931.43066298962,15.896180038388,0.0101539343595505,65.2428131103516,65.232659175992,3,"Golfito",20.7366343299811,133.140735800512,15.5749735085221,74,3,3,68,153,971,74.6152553556927,19.6697876442856,2,32,15,10.4719101123596,30,38,100,0,67.1044897539425,1.1027578075825,2.2800262778395,14.4699706913866
"golfito_LCP_top5_6",75.7344144405166,5.81228685379028,159.155685424805,153.343398571014,"golfito_LCP_top5",7.45145276429877,813.714651265882,-0.777342677116394,1582.73742675781,1583.51476943493,14.3046899550095,0.0232269428670406,58.3191795349121,58.2959525920451,5,"Golfito",11.0905214031236,126.333380115701,8.77877358538689,167,3,6,158,211,1076,73.4610282056925,16.0804689792949,3,10,7,6.66666666666667,7,25,100,0,64.5564493488721,2.5868832887247,3.26845732886774,16.667583345316
"golfito_LCP_top5_7",76.0037473481889,5.81228685379028,159.155685424805,153.343398571014,"golfito_LCP_top5",7.66622400282061,811.173294464024,-0.777342677116394,1685.35388183594,1686.13122451305,14.2611294571317,0.0550299063324928,58.3191795349121,58.2641496285796,5,"Golfito",12.7618828885358,121.351339970196,10.5164746361022,119,3,6,110,204,1049,73.1574122064115,17.8844337485934,3,16,7,7.74683544303798,13,25,100,0,67.3647545405296,1.76650239151995,3.0282898140342,15.571941249617
"golfito_LCP_top5_8",76.8949177351343,5.81228685379028,159.155685424805,153.343398571014,"golfito_LCP_top5",7.79977309935113,823.311239108924,-0.777342677116394,1512.42626953125,1513.20361220837,14.2984357388583,0.0550299063324928,58.3191795349121,58.2641496285796,5,"Golfito",16.2451765922276,127.347894034988,12.7565333650232,119,3,6,110,200,1059,74.3140675526203,17.3184646413868,3,16,7,7.75903614457831,13,25,100,0,63.2825863901869,1.88045411523277,3.16042708442482,16.7344614120294
"golfito_LCP_top5_9",76.2573239779887,13.7162294387817,168.731658935547,155.015429496765,"golfito_LCP_top5",7.76041573657902,690.139331330057,-0.777342677116394,1702.84680175781,1703.62414443493,15.9371129594169,0.0101539343595505,65.2428131103516,65.232659175992,3,"Golfito",9.20414875331293,119.934576242387,7.67430797830261,74,3,3,68,152,960,73.0367361476881,20.6066513713711,2,32,15,10.875,30,38,100,0,70.1747097590241,1.05451095208105,2.16602249616649,13.6801420810515
