"HC_ID","canopy_mean","elevation_range","pct_sinacbc","nTotalRoads","nPrimaria","nSecundaria","nOtherRoads","nForestPatches","meanForestPatchArea","nAgPatches","meanAgPatchArea","pct_forest","pct_ag","hc_areasqkm"
1,30,0,100,0,0,0,0,1,1001.95258107818,0,0,100,0,0.000799242224539994
2,29.5946836471558,7.945556640625,0,0,0,0,0,1,1001.95258107818,0,0,100,0,0.000899239723868057
3,26.877748966217,17.6884765625,0,0,0,0,0,1,1001.95258107818,0,0,100,0,0.000599546644311165
4,30,14.01806640625,100,0,0,0,0,1,1001.95258107818,0,0,100,0,0.000799242118939481
5,30,0,0,0,0,0,0,1,1001.95258107818,0,0,100,0,0.000899242016846008
6,30,0,0,0,0,0,0,1,1001.95258107818,0,0,100,0,9.99299726708414e-05
7,29.5726463746742,187.458984375,100,0,0,0,0,1,1001.95258107818,0,0,100,0,0.0704332444137836
8,28.9287262669316,30.10791015625,100,0,0,0,0,1,1001.95258107818,0,0,100,0,0.00519562382987971
9,25,0,0,0,0,0,0,1,1001.95258107818,0,0,100,0,9.99187625198101e-05
10,29.276750365893,50.96484375,100,0,0,0,0,1,1001.95258107818,0,0,100,0,0.00409656148543503
11,30,13.510498046875,100,0,0,0,0,1,1001.95258107818,0,0,100,0,0.000299716238037887
12,24.5501388004848,16.963623046875,100,0,0,0,0,1,1001.95258107818,0,0,100,0,0.00229797306108579
13,14.9619221687317,0,0,0,0,0,0,1,1001.95258107818,0,0,100,0,9.99167109352711e-05
14,16.1186697483063,0,0,0,0,0,0,1,1001.95258107818,0,0,100,0,0.000399666916730333
15,30,16.858642578125,0,0,0,0,0,1,1001.95258107818,0,0,100,0,0.000899383985480628
16,28.1075246334076,0,100,0,0,0,0,1,1001.95258107818,0,0,100,0,0.00079930702878267
17,27.0368112458123,16.3572998046875,100,0,0,0,0,1,1001.95258107818,0,0,100,0,0.00239788512730686
18,22.83860206604,30.52392578125,100,0,0,0,0,1,1001.95258107818,0,0,100,0,0.00299728070670427
19,29.9983033266934,4.702392578125,0,0,0,0,0,1,7.94082962937099,0,0,100,0,0.000899424942092621
20,28.0891226359776,7.4488525390625,100,0,0,0,0,1,1001.95258107818,0,0,100,0,0.00129883829744683
21,30,11.0386962890625,100,0,0,0,0,1,1001.95258107818,0,0,100,0,0.000199821811821719
22,23.7716951370239,11.8592529296875,100,0,0,0,0,1,1001.95258107818,0,0,100,0,9.99114487087209e-05
23,21.2806777954102,0,100,0,0,0,0,1,1001.95258107818,0,0,100,0,9.99112546858814e-05
24,30,0,0,0,0,0,0,1,1001.95258107818,0,0,100,0,0.00109927122492917
25,29.8068951765696,17.1312255859375,100,0,0,0,0,1,1001.95258107818,0,0,100,0,0.00639428860171181
26,16.4406382616828,11.31640625,0,0,0,0,0,1,1001.95258107818,1,0.0105935563701947,85.7663052616833,14.2943842102806,0.00139915086272943
27,30,0,100,0,0,0,0,1,1001.95258107818,0,0,100,0,9.99108675447496e-05
28,29.4091033935547,26.903564453125,100,0,0,0,0,1,1001.95258107818,0,0,100,0,0.000799287505395361
29,30,0,100,0,0,0,0,1,1001.95258107818,0,0,100,0,9.99109059355396e-05
30,21,0,100,0,0,0,0,1,1001.95258107818,0,0,100,0,9.99129549117206e-05
31,28,0,100,0,0,0,0,1,1001.95258107818,0,0,100,0,9.99161764344899e-05
32,25.2619466781616,11.7152099609375,100,0,0,0,0,1,1001.95258107818,0,0,100,0,0.00179844688093534
33,26.7965812683105,10.7999267578125,100,0,0,0,0,1,1001.95258107818,0,0,100,0,9.99157820532564e-05
34,30,3.0885009765625,100,0,0,0,0,1,1001.95258107818,0,0,100,0,0.000299731918803474
35,22.6653688218858,23.931640625,100,0,0,0,0,1,1001.95258107818,0,0,100,0,0.000899225121770593
36,30,41.1170654296875,100,0,0,0,0,1,1001.95258107818,0,0,100,0,0.00749299815748147
37,29.9880991380698,78.24755859375,100,0,0,0,0,1,1001.95258107818,0,0,100,0,0.026375170770935
38,30,19.16748046875,100,0,0,0,0,1,1001.95258107818,0,0,100,0,0.000199811235984496
39,28.3187645357419,90.216064453125,100,0,0,0,0,1,1001.95258107818,0,0,100,0,0.0638414755543513
40,30,21.5985107421875,100,0,0,0,0,1,1001.95258107818,0,0,100,0,0.00859197013448864
41,21.9569683074951,0,100,0,0,0,0,1,1001.95258107818,0,0,100,0,9.9904289485843e-05
42,22,0,100,0,0,0,0,1,1001.95258107818,0,0,100,0,9.9904407264592e-05
43,24.1763661702474,15.5673828125,100,0,0,0,0,1,1001.95258107818,0,0,100,0,0.000299712132039698
44,20,0.4786376953125,100,0,0,0,0,1,1001.95258107818,0,0,100,0,9.9904275603214e-05
45,26.246852238973,2.604736328125,100,0,0,0,0,1,1001.95258107818,1,0.01278765873188,90.9967085645197,9.09967085645197,0.00109894084717467
46,28.2853522581213,12.3533935546875,100,0,0,0,0,1,1001.95258107818,1,0.00519502617421713,94.2076848238004,5.88798030148753,0.00169837524719191
47,23.9057359695435,0,100,0,0,0,0,1,1001.95258107818,0,0,100,0,0.000199808448287949
48,28.1307516098022,5.5330810546875,100,0,0,0,0,1,1001.95258107818,0,0,100,0,0.00019980809069422
49,29.3638164520264,0,100,0,0,0,0,1,1001.95258107818,0,0,100,0,0.00109896600763615
50,22.3772010803223,0,0,0,0,0,0,1,1001.95258107818,0,0,100,0,9.99294602556329e-05
51,30,8.83349609375,100,0,0,0,0,1,1001.95258107818,0,0,100,0,0.0027973834829626
52,22.8887148487325,15.5721435546875,100,0,0,0,0,1,1001.95258107818,0,0,100,0,0.00389648926929696
53,19.4711349805196,0,100,0,0,0,0,1,1001.95258107818,0,0,100,0,0.000999059436726995
54,30,57.85595703125,100,0,0,0,0,1,1001.95258107818,0,0,100,0,0.0155854294139987
55,12.8331123352051,14.4971923828125,100,0,0,0,0,1,1001.95258107818,0,0,100,0,0.000499566122269956
56,23.0244140625,9.4158935546875,100,0,0,0,0,1,1001.95258107818,0,0,100,0,9.99059051727818e-05
57,20.4463758468628,16.912109375,100,0,0,0,0,1,1001.95258107818,0,0,100,0,0.000199811798497089
58,29.8403234481812,0,100,0,0,0,0,1,1001.95258107818,0,0,100,0,0.0013987735745445
59,27.8431628545125,4.8907470703125,100,0,0,0,0,1,1001.95258107818,0,0,100,0,0.000599421108049544
